#!lsdb
table,point
name,latitude,longitude,accuracy,satellites,priority,userid,id
"261, dubec, sesvete, goranec",458280249,160777883,1,10,0,53001,1346096564
"224, dubec, novoselec",458281583,160781016,1,9,0,53001,1346097125
"280, dubec, šimunčevec",458282066,160778066,1,11,0,53001,1346097194
"270, dubec, sesvete, blaguša",458282700,160783300,1,11,0,53001,1346097553
"224, dubec, trnovčica-dubrava",458282966,160776066,1,8,0,53001,1346097255
"274, dubec, sesvete, laktec",458283233,160780783,1,10,0,53001,1346097497
"273, dubec, sesvete, lužan",458283983,160777850,1,11,0,53001,1346097453
"271, dubec, sesvete, jasenovac, glavnica donja",458284166,160774733,1,11,0,53001,1346097340
"272, dubec, sesvete, moravče",458284183,160774733,1,11,0,53001,1346097381
"poljanice četvrte zapad",458284350,160726649,1,12,0,53001,1346097917
"aleja javora zapad",458288916,160681349,1,9,0,53001,1346097972
"grižanska zapad",458289066,160521183,1,9,0,53001,1346098163
"čulinečka zapad",458290316,160623100,1,9,0,53001,1346098028
"dankovečka zapad",458295550,160547516,1,10,0,53001,1346098123
"oporovečka, smjer, b,",458302266,160342400,1,10,0,53001,1346094170
"oporovečka, smjer, a,",458318833,160339583,1,11,0,53001,1346092621
"radićevo šetalište jug",458322250,159778750,1,9,0,53001,1345971691
"k b c dubrava, smjer, b,",458334416,160331616,1,8,0,53001,1346093855
"k b c dubrava, smjer, a,",458346000,160334449,1,11,0,53001,1346092720
"jandrićeva jug",458370583,159772966,1,8,0,53001,1345971614
"jarek donji westgate autobus početna",458382316,158260000,1,9,0,51133,1258900579
"jarek zaprešić autobus zapad",458384533,158242616,1,8,0,8667,1273657954
"mihaljevac 14 jug",458417000,159746050,1,9,0,53001,1345971077
"autobus mihaljevac sljeme početna",458418400,159753316,1,8,0,53001,1344162403
"mihaljevac 15 jug",458422133,159743066,1,9,0,53001,1345970501
"željeznička stanica zaprešić autobus zapad",458458683,158139999,1,8,0,8667,1273658076
"gračanske stube jug",458488750,159753800,1,8,0,53001,1345970395
"crkva zaprešić autobus zapad",458503500,158102016,1,8,0,8667,1273658160
"gračanski mihaljevac jug",458541300,159731950,1,8,0,53001,1345970318
"dom zdravlja zaprešić autobus zapad",458582216,158021150,1,8,0,31691,1338295899
"gračani jug",458583566,159740450,1,9,0,53001,1345970243
"dolje jug",458603883,159812150,1,8,0,53001,1345970085
"terminal zaprešić autobus izlaz",458618616,158003466,1,8,0,8667,1273658487
"autobus sljeme početna",458979033,159466266,1,8,0,53001,1343505272
"jarnovićeva 96",457931233,158946883,1,10,0,33999,1363958461
"prečko terminal zadnja",457951266,158998116,1,9,0,33999,1363958602
"zračna luka zagreb",457313533,160594966,1,8,0,33999,1369924358
"nehajska autobus zapad",457943601,159482411,1,6,0,33999,1407160195
